Orthogroup	Duplications (all)	Duplications (50% support)
OG0001142	0	0
OG0001143	1	1
OG0001144	0	0
OG0001145	0	0
OG0001146	0	0
OG0001147	0	0
OG0001148	0	0
OG0001149	0	0
OG0001150	0	0
OG0001151	1	1
OG0001152	0	0
OG0001153	0	0
OG0001154	2	2
OG0001155	1	1
OG0001156	0	0
OG0001157	0	0
OG0001158	0	0
OG0001159	0	0
OG0001160	0	0
OG0001161	0	0
OG0001162	0	0
OG0001163	0	0
OG0001164	0	0
OG0001165	3	3
OG0001166	1	1
OG0001167	1	1
OG0001168	1	1
OG0001169	0	0
OG0001170	0	0
OG0001171	1	1
OG0001172	0	0
OG0001173	0	0
OG0001174	0	0
OG0001175	0	0
OG0001176	3	3
OG0001177	0	0
OG0001178	0	0
OG0001179	2	2
OG0001180	1	1
OG0001181	0	0
OG0001182	0	0
OG0001183	0	0
OG0001184	1	1
OG0001185	0	0
OG0001186	0	0
OG0001187	0	0
OG0001188	0	0
OG0001189	0	0
OG0001190	0	0
OG0001191	0	0
OG0001192	2	2
OG0001193	2	2
OG0001194	1	1
OG0001195	0	0
OG0001196	0	0
OG0001197	0	0
OG0001198	0	0
OG0001199	0	0
OG0001200	0	0
OG0001201	0	0
OG0001202	1	1
OG0001203	2	2
OG0001204	0	0
OG0001205	0	0
OG0001206	0	0
OG0001207	0	0
OG0001208	0	0
OG0001209	0	0
OG0001210	0	0
OG0001211	0	0
OG0001212	0	0
OG0001213	0	0
OG0001214	0	0
OG0001215	0	0
OG0001216	0	0
OG0001217	0	0
OG0001218	0	0
OG0001219	1	1
OG0001220	0	0
OG0001221	0	0
OG0001222	0	0
OG0001223	0	0
OG0001224	0	0
OG0001225	0	0
OG0001226	0	0
OG0001227	0	0
OG0001228	0	0
OG0001229	0	0
OG0001230	0	0
OG0001231	0	0
OG0001232	0	0
OG0001233	0	0
OG0001234	0	0
OG0001235	0	0
OG0001236	0	0
OG0001237	3	3
OG0001238	0	0
OG0001239	0	0
OG0001240	0	0
OG0001241	2	2
OG0001242	0	0
OG0001243	0	0
OG0001244	0	0
OG0001245	0	0
OG0001246	0	0
OG0001247	1	1
OG0001248	1	1
OG0001249	1	1
OG0001250	0	0
OG0001251	0	0
OG0001252	0	0
OG0001253	1	1
OG0001254	2	2
OG0001255	1	1
OG0001256	1	1
OG0001257	0	0
OG0001258	0	0
OG0001259	0	0
OG0001260	0	0
OG0001261	0	0
OG0001262	1	1
OG0001263	0	0
OG0001264	1	1
OG0001265	0	0
OG0001266	0	0
OG0001267	0	0
OG0001268	0	0
OG0001269	0	0
OG0001270	0	0
OG0001271	0	0
OG0001272	0	0
OG0001273	0	0
OG0001274	0	0
OG0001275	0	0
OG0001276	0	0
OG0001277	0	0
OG0001278	0	0
OG0001279	0	0
OG0001280	2	2
OG0001281	0	0
OG0001282	0	0
OG0001283	1	1
OG0001284	0	0
OG0001285	0	0
OG0001286	1	1
OG0001287	0	0
OG0001288	0	0
OG0001289	1	1
OG0001290	0	0
OG0001291	0	0
OG0001292	1	1
OG0001293	1	1
OG0001294	0	0
OG0001295	0	0
OG0001296	0	0
OG0001297	0	0
OG0001298	0	0
OG0001299	0	0
OG0001300	0	0
OG0001301	0	0
OG0001302	0	0
OG0001303	0	0
OG0001304	0	0
OG0001305	0	0
OG0001306	1	1
OG0001307	0	0
OG0001308	0	0
OG0001309	0	0
OG0001310	1	1
OG0001311	1	1
OG0001312	1	1
OG0001313	0	0
OG0001314	0	0
OG0001315	0	0
OG0001316	0	0
OG0001317	0	0
OG0001318	0	0
OG0001319	0	0
OG0001320	0	0
OG0001321	0	0
OG0001322	0	0
OG0001323	0	0
OG0001324	1	1
OG0001325	1	1
OG0001326	0	0
OG0001327	1	1
OG0001328	3	3
OG0001329	1	1
OG0001330	0	0
OG0001331	1	1
OG0001332	0	0
OG0001333	0	0
OG0001334	0	0
OG0001335	0	0
OG0001336	0	0
OG0001337	0	0
OG0001338	0	0
OG0001339	1	1
OG0001340	1	1
OG0001341	0	0
OG0001342	0	0
OG0001343	0	0
OG0001344	0	0
OG0001345	0	0
OG0001346	2	2
OG0001347	2	2
OG0001348	4	4
OG0001349	1	0
OG0001350	3	3
OG0001351	3	3
OG0001352	3	3
OG0001353	3	3
OG0001354	3	3
OG0001355	2	2
OG0001356	4	4
OG0001357	4	4
OG0001358	4	4
OG0001359	2	2
OG0001360	3	3
OG0001361	4	4
OG0001362	3	3
OG0001363	2	2
OG0001364	1	1
OG0001365	2	2
OG0001366	2	2
OG0001367	4	4
OG0001368	4	4
OG0001369	1	0
OG0001370	1	1
OG0001371	3	3
OG0001372	3	3
OG0001373	4	4
OG0001374	3	3
OG0001375	1	1
OG0001376	4	4
OG0001377	3	3
OG0001378	4	4
OG0001379	2	2
OG0001380	4	4
OG0001381	4	4
OG0001382	1	1
OG0001383	2	2
